[s]	o	p
gcmin:sillimanite	skos:broader	gcmin:aluminosilicate
gcmin:sillimanite	gcmin:webmineralurl	http://www.webmineral.com/data/Sillimanite.shtml
gcmin:sillimanite	skos:exactMatch	<https://www.mindat.org/1:1:3662:3>
gcmin:sillimanite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/sillimanite.pdf
gcmin:sillimanite	rdfs:label	Sillimanite
gcmin:sillimanite	skos:inScheme	gcmin:conceptScheme
gcmin:sillimanite	gcmin:fleischersgroup	andalusite
gcmin:sillimanite	gcmin:rruffnameplain	Sillimanite
gcmin:sillimanite	gcmin:imastatus	Grandfathered|Approved
gcmin:silver	gcmin:rruffnameplain	Silver
gcmin:silver	gcmin:statusnotes	Mineral name has been known since antiquity and predates any formal descriptive publication.
gcmin:silver	gcmin:rruffids	R070416 | R070463 | R070754
gcmin:silver	gcmin:crystalsystem	"cubic, hexagonal"
gcmin:silver	skos:prefLabel	Silver
gcmin:silver	skos:broader	strunz:s01_AA
gcmin:silver	gcmin:chemistryelements	Ag
gcmin:silver	gcmin:strunzcodeV10	01.AA.05
gcmin:silver	rdfs:label	Silver
gcmin:silver	skos:exactMatch	gsqmin:silver
gcmin:silver	gcmin:wikipediadate	old
gcmin:silver	gcmin:structuralgroup	Copper
gcmin:silver	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/silver.pdf
gcmin:silver	rdf:type	skos:Concept
gcmin:silver	gcmin:rruffchemistry	Ag
gcmin:silver	gcmin:mindaturl	http://www.mindat.org/min-3664.html
gcmin:silver	gcmin:localitycount	6154
gcmin:silver	gcmin:imastatus	Grandfathered|Approved
gcmin:silver	gcmin:imachemistry	Ag
gcmin:silver	gcmin:mindatid	min-3664
gcmin:silver	gcmin:webmineralurl	http://www.webmineral.com/data/Silver.shtml
gcmin:silver	skos:exactMatch	<https://www.mindat.org/1:1:3664:7>
gcmin:silver	skos:inScheme	gcmin:conceptScheme
gcmin:silver	gcmin:fleischersgroup	copper
gcmin:silver	skos:broader	<https://w3id.org/geochem/1.0/mingroup/32720>
gcmin:silver	gcmin:rruffnamehtml	Silver
gcmin:silver	gcmin:strunzlabel	Copper-cupalite family
gcmin:skutterudite	skos:exactMatch	<http://www.wikidata.org/entity/Q417274>
gcmin:skutterudite	skos:prefLabel	Skutterudite
gcmin:skutterudite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/skutterudite.pdf
gcmin:skutterudite	gcmin:rruffnameplain	Skutterudite
gcmin:skutterudite	gcmin:localitycount	625
gcmin:skutterudite	gcmin:wikipediadate	1827
gcmin:skutterudite	gcmin:structuralgroup	Perovskite
gcmin:skutterudite	gcmin:rruffnamehtml	Skutterudite
gcmin:skutterudite	gcmin:rruffchemistry	Co<sup>3+</sup>As<sub>3</sub>
gcmin:skutterudite	gcmin:mindatid	min-3682
gcmin:skutterudite	gcmin:webmineralurl	http://www.webmineral.com/data/Skutterudite.shtml
gcmin:skutterudite	rdf:type	skos:Concept
gcmin:skutterudite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/39437>
gcmin:skutterudite	skos:exactMatch	<https://www.mindat.org/1:1:3682:1>
gcmin:skutterudite	gcmin:strunzcodeV10	02.EC.05
gcmin:skutterudite	gcmin:crystalsystem	cubic
gcmin:skutterudite	gcmin:chemistryelements	Co | As
gcmin:skutterudite	gcmin:fleischersgroup	skutterudite
gcmin:skutterudite	skos:exactMatch	gsqmin:skutterudite
gcmin:skutterudite	skos:inScheme	gcmin:conceptScheme
gcmin:skutterudite	gcmin:imachemistry	CoAs<sub>3</sub>
gcmin:skutterudite	gcmin:statusnotes	"Haidinger W (1845) Zweite Klasse: Geogenide. XIII. Ordnung. Kiese III. Kobaltkies. Skutterudit. in Handbuch der Bestimmenden Mineralogie, Bei Braum?ller and Seidel (Wien) 559-562 Chemical formula revised from CoAs_3-x_ to CoAs_3_: Schumer B N, Andrade M B, Evans S H, Downs R T (2017) A new formula and crystal structure for nickelskutterudite, (Ni,Co,Fe)As_3_, and occupancy of the icosahedral cation site in the skutterudite group. American Mineralogist 102, 205-209"
gcmin:skutterudite	gcmin:strunzlabel	"Metal sulfide, M:S = 1:>2"
gcmin:skutterudite	gcmin:rruffids	R050593 | R070528 | R100195
gcmin:skutterudite	gcmin:imastatus	Grandfathered|Approved
gcmin:skutterudite	gcmin:mindaturl	http://www.mindat.org/min-3682.html
gcmin:skutterudite	rdfs:label	Skutterudite
gcmin:smectitegroup	gcmin:localitycount	2968
gcmin:smectitegroup	skos:inScheme	gcmin:conceptScheme
gcmin:smectitegroup	rdfs:label	Smectite
gcmin:smectitegroup	skos:broader	gcmin:claymineral
gcmin:smectitegroup	dcterm:source	gcmin:SMRadditions
gcmin:smectitegroup	gcmin:mindaturl	https://www.mindat.org/min-11119.html
gcmin:smectitegroup	rdf:type	skos:Concept
gcmin:smectitegroup	skos:prefLabel	Smectite
gcmin:smectitegroup	gcmin:mindatid	min-11119
gcmin:smectitegroup	rdfs:comment	"Smectite a group name for platy phyllosilicates of 2:1 layer and a layer charge of ~ -0.2 to -0.6 per formula unit. Generally for natural samples, the d(001) spacing is approximately 14.4-15.6 ?, although other spacing may occur depending on H2O retention and interlayer occupancy. The group is further divided into subgroups that are either trioctahedral (according to Bailey, 1980, this subgroup name is saponite) or dioctahedral (subgroup name of montmorillonite, according to Bailey, 1980), and these subgroups are further divided into mineral species.  Prior to circa 1975, the smectite group was called the montmorillonite-saponite group"
gcmin:smectitegroup	skos:exactMatch	gsqmin:smectite
gcmin:smithsonite	gcmin:chemistryelements	Zn | C | O
gcmin:smithsonite	rdf:type	skos:Concept
gcmin:smithsonite	gcmin:iupacchemname	IUPAC: Zinc carbonate
gcmin:smithsonite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/smithsonite.pdf
gcmin:smithsonite	gcmin:wikipediadate	1780
gcmin:smithsonite	gcmin:structuralgroup	Calcite
gcmin:smithsonite	gcmin:localitycount	2975
gcmin:smithsonite	skos:inScheme	gcmin:conceptScheme
gcmin:smithsonite	gcmin:crystalsystem	hexagonal
gcmin:smithsonite	gcmin:statusnotes	"Beudant F S (1832) Smithsonite, zinc carbonat?, in Trait? ?l?mentaire de Min?ralogie, 2nd Edition, (Paris) 354-357"
gcmin:smithsonite	gcmin:webmineralurl	http://www.webmineral.com/data/Smithsonite.shtml
gcmin:smithsonite	gcmin:strunzlabel	"Carbonate without additional anions, without H2O, Alkali-earth (and other M2+) carbonates"
gcmin:smithsonite	gcmin:imachemistry	Zn(CO<sub>3</sub>)
gcmin:smithsonite	gcmin:mindaturl	http://www.mindat.org/min-3688.html
gcmin:smithsonite	rdfs:label	Smithsonite
gcmin:smithsonite	skos:exactMatch	<http://www.wikidata.org/entity/Q152400>
gcmin:smithsonite	gcmin:strunzcodeV10	05.AB.05
gcmin:smithsonite	gcmin:mindatid	min-3688
gcmin:smithsonite	gcmin:rruffnamehtml	Smithsonite
gcmin:smithsonite	gcmin:imastatus	Grandfathered|Approved
gcmin:smithsonite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29161>
gcmin:smithsonite	gcmin:rruffnameplain	Smithsonite
gcmin:smithsonite	skos:prefLabel	Smithsonite
gcmin:smithsonite	skos:exactMatch	gsqmin:smithsonite
gcmin:smithsonite	skos:exactMatch	<https://www.mindat.org/1:1:3688:3>
gcmin:smithsonite	gcmin:fleischersgroup	calcite
gcmin:smithsonite	gcmin:rruffids	R040035 | R040051
gcmin:smithsonite	gcmin:rruffchemistry	Zn<sup>2+</sup>CO<sub>3</sub>
gcmin:sodalite	rdfs:label	Sodalite
gcmin:sodalite	rdf:type	skos:Concept
gcmin:sodalite	skos:exactMatch	<https://www.mindat.org/1:1:3701:9>
gcmin:sodalite	gcmin:mindatid	min-3701
gcmin:sodalite	skos:prefLabel	Sodalite
gcmin:sodalite	gcmin:rruffnameplain	Sodalite
gcmin:sodalite	gcmin:crystalsystem	cubic
gcmin:sodalite	gcmin:statusnotes	"Thomson T (1812) A chemical analysis of sodalite, a new mineral from Greenland, Transactions of the Royal Society of Edinburgh 6, 387-395"
gcmin:sodalite	gcmin:localitycount	764
gcmin:sodalite	gcmin:imastatus	Grandfathered|Approved
gcmin:sodalite	gcmin:rruffids	R040141 | R060355 | R060354 | R060416 | R060405 | R060435 | R060436
gcmin:sodalite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29220>
gcmin:sodalite	skos:exactMatch	<http://www.wikidata.org/entity/Q410759>
gcmin:sodalite	skos:exactMatch	gsqmin:sodalite
gcmin:sodalite	gcmin:chemistryelements	Na | Si | Al | O | Cl
gcmin:sodalite	gcmin:strunzlabel	Tektosilicate with additional anions
gcmin:sodalite	skos:inScheme	gcmin:conceptScheme
gcmin:sodalite	gcmin:rruffnamehtml	Sodalite
gcmin:sodalite	gcmin:wikipediadate	1812
gcmin:sodalite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/sodalite.pdf
gcmin:sodalite	gcmin:strunzcodeV10	09.FB.10
gcmin:sodalite	gcmin:webmineralurl	http://www.webmineral.com/data/Sodalite.shtml
gcmin:sodalite	gcmin:structuralgroup	Sodalite
gcmin:sodalite	gcmin:mindaturl	http://www.mindat.org/min-3701.html
gcmin:sodalite	gcmin:rruffchemistry	Na<sub>4</sub>Si<sub>3</sub>Al<sub>3</sub>O<sub>12</sub>Cl
gcmin:sodalite	gcmin:imachemistry	Na<sub>4</sub>(Si<sub>3</sub>Al<sub>3</sub>)O<sub>12</sub>Cl
gcmin:sodalite	gcmin:fleischersgroup	cancrinite-sodalite-sodalite subgroup
gcmin:sperrylite	rdf:type	skos:Concept
gcmin:sperrylite	gcmin:structuralgroup	Pyrite
gcmin:sperrylite	skos:inScheme	gcmin:conceptScheme
gcmin:sperrylite	gcmin:mindaturl	http://www.mindat.org/min-3723.html
gcmin:sperrylite	gcmin:wikipediadate	1889
gcmin:sperrylite	gcmin:iupacchemname	IUPAC: Platinum diarsenide
gcmin:sperrylite	skos:exactMatch	gsqmin:sperrylite
gcmin:sperrylite	skos:exactMatch	<http://www.wikidata.org/entity/Q425150>
gcmin:sperrylite	gcmin:rruffids	R070214
gcmin:sperrylite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/sperrylite.pdf
gcmin:sperrylite	gcmin:strunzlabel	"Metal sulfide, M: S <= 1:2 with Fe, Co, Ni, PGE, etc."
gcmin:sperrylite	gcmin:fleischersgroup	pyrite
gcmin:sperrylite	rdfs:label	Sperrylite
gcmin:sperrylite	gcmin:rruffchemistry	PtAs<sub>2</sub>
gcmin:sperrylite	gcmin:strunzcodeV10	02.EB.05a
gcmin:sperrylite	skos:prefLabel	Sperrylite
gcmin:sperrylite	gcmin:webmineralurl	http://www.webmineral.com/data/Sperrylite.shtml
gcmin:sperrylite	gcmin:rruffnameplain	Sperrylite
gcmin:sperrylite	gcmin:mindatid	min-3723
gcmin:sperrylite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/9258>
gcmin:sperrylite	gcmin:imachemistry	PtAs<sub>2</sub>
gcmin:sperrylite	gcmin:chemistryelements	Pt | As
gcmin:sperrylite	gcmin:statusnotes	"Wells H L (1889) Sperrylite, a new mineral, American Journal of Science 137, 67-70"
gcmin:sperrylite	skos:exactMatch	<https://www.mindat.org/1:1:3723:1>
gcmin:sperrylite	gcmin:crystalsystem	cubic
gcmin:sperrylite	gcmin:rruffnamehtml	Sperrylite
gcmin:sperrylite	gcmin:imastatus	Grandfathered|Approved
gcmin:sperrylite	gcmin:localitycount	485
gcmin:spessartine	gcmin:strunzlabel	Nesosilicate without additional anions; cations in [6] and/or greater coordination
gcmin:spessartine	gcmin:statusnotes	"Beudant F S (1832) Spessartine, in Trait? ?l?mentaire de Min?ralogie, 2nd Edition, (Paris) 52-55"
gcmin:spessartine	gcmin:localitycount	1458
gcmin:spessartine	gcmin:mindaturl	http://www.mindat.org/min-3725.html
gcmin:spessartine	skos:exactMatch	<http://www.wikidata.org/entity/Q20653385>
gcmin:spessartine	gcmin:rruffnameplain	Spessartine
gcmin:spessartine	rdfs:label	Spessartine
gcmin:spessartine	gcmin:chemistryelements	Mn | Al | Si | O
gcmin:spessartine	skos:prefLabel	Spessartine
gcmin:spessartine	gcmin:imachemistry	Mn<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>
gcmin:spessartine	gcmin:iupacchemname	IUPAC: TrimanganeseII dialuminium trinesosilicate
gcmin:spessartine	gcmin:mindatid	min-3725
gcmin:spessartine	skos:exactMatch	<https://www.mindat.org/1:1:3725:5>
gcmin:spessartine	gcmin:fleischersgroup	garnet
gcmin:spessartine	gcmin:rruffids	R050063 | R060177 | R060279 | R060447 | R060451 | R080053
gcmin:spessartine	skos:exactMatch	gsqmin:spessartine
gcmin:spessartine	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/spessartine.pdf
gcmin:spessartine	gcmin:crystalsystem	cubic
gcmin:spessartine	gcmin:rruffnamehtml	Spessartine
gcmin:spessartine	gcmin:rruffchemistry	Mn<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>
gcmin:spessartine	skos:broader	<https://w3id.org/geochem/1.0/mingroup/10272>
gcmin:spessartine	skos:inScheme	gcmin:conceptScheme
gcmin:spessartine	rdf:type	skos:Concept
gcmin:spessartine	gcmin:structuralgroup	Garnet
gcmin:spessartine	gcmin:wikipediadate	1832
gcmin:spessartine	gcmin:imastatus	Approved|Grandfathered
gcmin:spessartine	gcmin:webmineralurl	http://www.webmineral.com/data/Spessartine.shtml
gcmin:spessartine	gcmin:strunzcodeV10	09.AD.25
gcmin:sphalerite	rdfs:label	Sphalerite
gcmin:sphalerite	gcmin:rruffchemistry	Zn<sup>2+</sup>S<sup>2-</sup>
gcmin:sphalerite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/sphalerite.pdf
gcmin:sphalerite	gcmin:localitycount	25301
gcmin:sphalerite	gcmin:rruffids	R040136 | R050005 | R050140 | R050237 | R060005 | R060636 | R100145
gcmin:sphalerite	gcmin:imachemistry	ZnS
gcmin:sphalerite	gcmin:imastatus	Approved
gcmin:sphalerite	rdf:type	skos:Concept
gcmin:sphalerite	skos:exactMatch	<https://www.mindat.org/1:1:3727:9>
gcmin:sphalerite	skos:inScheme	gcmin:conceptScheme
gcmin:sphalerite	skos:prefLabel	Sphalerite
gcmin:sphalerite	gcmin:strunzlabel	"Metal sulfide (M = S) with Zn, Fe, Cu, Ag, etc."
gcmin:sphalerite	skos:exactMatch	<http://www.wikidata.org/entity/Q105006>
gcmin:sphalerite	skos:exactMatch	gsqmin:sphalerite
gcmin:sphalerite	gcmin:structuralgroup	Sphalerite
gcmin:sphalerite	gcmin:rruffnamehtml	Sphalerite
gcmin:sphalerite	gcmin:iupacchemname	IUPAC: Zinc sulfide
gcmin:sphalerite	gcmin:chemistryelements	Zn | S
gcmin:sphalerite	gcmin:rruffnameplain	Sphalerite
gcmin:sphalerite	gcmin:webmineralurl	http://www.webmineral.com/data/Sphalerite.shtml
gcmin:sphalerite	gcmin:wikipediadate	1847
gcmin:sphalerite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29333>
gcmin:sphalerite	gcmin:crystalsystem	cubic
gcmin:sphalerite	gcmin:statusnotes	"Glocker E F (1847) Ordo IV. Cinnabaritae. IV. Cinnabaritae sphaleritoidei. 12. Sphalerites, in Generum et Specierum Mineralium, Secundum Ordines Naturales Digestorum Synopsis, Apud Eduardum Anton 13-18"
gcmin:sphalerite	gcmin:fleischersgroup	sphalerite
gcmin:sphalerite	gcmin:mindatid	min-3727
gcmin:sphalerite	gcmin:mindaturl	http://www.mindat.org/min-3727.html
gcmin:sphalerite	gcmin:strunzcodeV10	02.CB.05a
gcmin:spinel	gcmin:statusnotes	Mineral name has been known since antiquity and predates any formal descriptive publication
gcmin:spinel	rdfs:label	Spinel
gcmin:spinel	gcmin:structuralgroup	Spinel
gcmin:spinel	gcmin:rruffchemistry	MgAl<sub>2</sub>O<sub>4</sub>
gcmin:spinel	gcmin:mindatid	min-3729
gcmin:spinel	rdf:type	skos:Concept
gcmin:spinel	gcmin:rruffids	R050184 | R050259 | R050411 | R050392 | R060798 | R060799 | R070013 | RS549903 | RS886298 | R100133 | R110101 | R120116
gcmin:spinel	gcmin:iupacchemname	IUPAC: Magnesium dialuminium tetraoxide
gcmin:spinel	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/spinel.pdf
gcmin:spinel	gcmin:rruffnamehtml	Spinel
gcmin:spinel	gcmin:imachemistry	MgAl<sub>2</sub>O<sub>4</sub>
gcmin:spinel	gcmin:wikipediadate	1797
gcmin:spinel	skos:exactMatch	<https://www.mindat.org/1:1:3729:3>
gcmin:spinel	gcmin:webmineralurl	http://www.webmineral.com/data/Spinel.shtml
gcmin:spinel	skos:inScheme	gcmin:conceptScheme
gcmin:spinel	gcmin:chemistryelements	Mg | Al | O
gcmin:spinel	skos:exactMatch	gsqmin:spinel
gcmin:spinel	gcmin:imastatus	Grandfathered|Approved
gcmin:spinel	gcmin:fleischersgroup	spinel
gcmin:spinel	skos:prefLabel	Spinel
gcmin:spinel	gcmin:localitycount	2576
gcmin:spinel	gcmin:crystalsystem	cubic
gcmin:spinel	gcmin:mindaturl	http://www.mindat.org/min-3729.html
gcmin:spinel	gcmin:strunzlabel	"Oxide, Metal: Oxygen = 3:4 and similar, With only medium-sized cations"
gcmin:spinel	skos:exactMatch	<http://www.wikidata.org/entity/Q191310>
gcmin:spinel	gcmin:strunzcodeV10	04.BB.05
gcmin:spinel	gcmin:rruffnameplain	Spinel
gcmin:spinel	skos:broader	<https://w3id.org/geochem/1.0/mingroup/52933>
gcmin:spodumene	gcmin:rruffnameplain	Spodumene
gcmin:spodumene	rdf:type	skos:Concept
gcmin:spodumene	gcmin:imastatus	Approved
gcmin:spodumene	skos:exactMatch	<http://www.wikidata.org/entity/Q120547>
gcmin:spodumene	skos:prefLabel	Spodumene
gcmin:spodumene	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/spodumene.pdf
gcmin:spodumene	skos:exactMatch	gsqmin:spodumene
gcmin:spodumene	gcmin:mindatid	min-3733
gcmin:spodumene	gcmin:crystalsystem	monoclinic
gcmin:spodumene	gcmin:strunzlabel	"Inosilicate with 2-periodic single chains, Si2O6; pyroxene family"
gcmin:spodumene	skos:inScheme	gcmin:conceptScheme
gcmin:spodumene	skos:exactMatch	<https://www.mindat.org/1:1:3733:0>
gcmin:spodumene	gcmin:structuralgroup	Pyroxene
gcmin:spodumene	gcmin:rruffnamehtml	Spodumene
gcmin:spodumene	gcmin:wikipediadate	1800
gcmin:spodumene	gcmin:rruffids	R040050 | R050252 | R060039
gcmin:spodumene	gcmin:rruffchemistry	LiAlSi<sub>2</sub>O<sub>6</sub>
gcmin:spodumene	gcmin:webmineralurl	http://www.webmineral.com/data/Spodumene.shtml
gcmin:spodumene	gcmin:fleischersgroup	pyroxene
gcmin:spodumene	gcmin:mindaturl	http://www.mindat.org/min-3733.html
gcmin:spodumene	gcmin:imachemistry	LiAlSi<sub>2</sub>O<sub>6</sub>
gcmin:spodumene	gcmin:localitycount	867
gcmin:spodumene	gcmin:strunzcodeV10	09.DA.30
gcmin:spodumene	gcmin:statusnotes	"dÆAndrada J B (1800) Der eigenschaften und kennzeichen einiger neuen fossilien aus Schweden und Norwegen nebst einigen chemischen bemerkungen ueber dieselben, Allgemeines Journal der Chemie 4, 28-39"
gcmin:spodumene	skos:broader	<https://w3id.org/geochem/1.0/mingroup/7630>
gcmin:spodumene	rdfs:label	Spodumene
gcmin:spodumene	gcmin:chemistryelements	Li | Al | Si | O
gcmin:stannite	gcmin:fleischersgroup	stannite
gcmin:stannite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/stannite.pdf
gcmin:stannite	gcmin:strunzlabel	"Metal sulfide (M = S) with Zn, Fe, Cu, Ag, etc."
gcmin:stannite	gcmin:rruffnamehtml	Stannite
gcmin:stannite	rdf:type	skos:Concept
gcmin:stannite	gcmin:iupacchemname	IUPAC: Dicopper iron tin tetrasulfide
gcmin:stannite	gcmin:imachemistry	Cu<sub>2</sub>FeSnS<sub>4</sub>
gcmin:stannite	gcmin:imastatus	Grandfathered|Approved
gcmin:stannite	gcmin:strunzcodeV10	02.CB.15a
gcmin:stannite	skos:exactMatch	gsqmin:stannite
gcmin:stannite	gcmin:statusnotes	"Beudant F S (1832) Stannine, in Trait? ?l?mentaire de Min?ralogie, 2nd Edition, (Paris) 416-417"
gcmin:stannite	gcmin:rruffnameplain	Stannite
gcmin:stannite	gcmin:localitycount	823
gcmin:stannite	skos:exactMatch	<https://www.mindat.org/1:1:3747:7>
gcmin:stannite	gcmin:structuralgroup	Sphalerite
gcmin:stannite	gcmin:rruffchemistry	Cu<sup>1+</sup><sub>2</sub>Fe<sup>2+</sup>Sn<sup>4+</sup>S<sup>2-</sup><sub>4</sub>
gcmin:stannite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/9259>
gcmin:stannite	gcmin:mindaturl	http://www.mindat.org/min-3747.html
gcmin:stannite	rdfs:label	Stannite
gcmin:stannite	gcmin:crystalsystem	tetragonal
gcmin:stannite	gcmin:rruffids	R050187
gcmin:stannite	gcmin:wikipediadate	1832
gcmin:stannite	gcmin:webmineralurl	http://www.webmineral.com/data/Stannite.shtml
gcmin:stannite	gcmin:chemistryelements	Cu | Fe | Sn | S
gcmin:stannite	skos:exactMatch	<http://www.wikidata.org/entity/Q419299>
gcmin:stannite	skos:broader	strunz:s02_CB
gcmin:stannite	skos:inScheme	gcmin:conceptScheme
gcmin:stannite	skos:prefLabel	Stannite
gcmin:stannite	gcmin:mindatid	min-3747
gcmin:staurolite	gcmin:mindatid	min-3753
gcmin:staurolite	gcmin:rruffnameplain	Staurolite
gcmin:staurolite	gcmin:chemistryelements	Fe | Al | Si | O | H
gcmin:staurolite	rdfs:label	Staurolite
gcmin:staurolite	gcmin:crystalsystem	"monoclinic, orthorhombic"
gcmin:staurolite	skos:exactMatch	<http://www.wikidata.org/entity/Q413380>
gcmin:staurolite	gcmin:strunzlabel	"Nesosilicate with additional anions; cations in [4], [5] and/or only [6] coordination"
gcmin:staurolite	rdf:type	skos:Concept
gcmin:staurolite	gcmin:imastatus	Grandfathered|Approved
gcmin:staurolite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/43836>
gcmin:staurolite	skos:exactMatch	gsqmin:staurolite
gcmin:staurolite	gcmin:localitycount	1184
gcmin:staurolite	gcmin:rruffnamehtml	Staurolite
gcmin:staurolite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/staurolite.pdf
gcmin:staurolite	gcmin:iupacchemname	IUPAC: DiironII nonaaluminium tetranesosilicate heptaoxy hydroxyl
gcmin:staurolite	gcmin:rruffchemistry	Fe<sup>2+</sup><sub>2</sub>Al<sub>9</sub>Si<sub>4</sub>O<sub>23</sub>(OH)
gcmin:staurolite	skos:prefLabel	Staurolite
gcmin:staurolite	skos:inScheme	gcmin:conceptScheme
gcmin:staurolite	gcmin:mindaturl	http://www.mindat.org/min-3753.html
gcmin:staurolite	gcmin:strunzcodeV10	09.AF.30
gcmin:staurolite	skos:exactMatch	<https://www.mindat.org/1:1:3753:8>
gcmin:staurolite	gcmin:wikipediadate	1792
gcmin:staurolite	gcmin:statusnotes	"Bergman T (1792) Staurolite, pierre de croix, Manuel du Min?ralogiste; ou Sciagraphie du R?gne Min?ral 1, 298-300"
gcmin:staurolite	gcmin:imachemistry	Fe<sup>2+</sup><sub>2</sub>Al<sub>9</sub>Si<sub>4</sub>O<sub>23</sub>(OH)
gcmin:staurolite	gcmin:fleischersgroup	staurolite
gcmin:staurolite	gcmin:rruffids	R050079 | R080120
gcmin:staurolite	gcmin:webmineralurl	http://www.webmineral.com/data/Staurolite.shtml
gcmin:stephanite	skos:inScheme	gcmin:conceptScheme
gcmin:stephanite	gcmin:mindaturl	http://www.mindat.org/min-3764.html
gcmin:stephanite	gcmin:imastatus	Grandfathered|Approved
gcmin:stephanite	gcmin:statusnotes	"Haidinger W (1845) Zweite Klasse: Geogenide. XIV. Ordnung. Glanze. VIII. Melanglanz. Stephanit., in Handbuch der Bestimmenden Mineralogie, Bei Braum?ller and Seidel (Wien) 563-570"
gcmin:stephanite	gcmin:rruffnameplain	Stephanite
gcmin:stephanite	gcmin:rruffnamehtml	Stephanite
gcmin:stephanite	skos:prefLabel	Stephanite
